web-scraper-order,web-scraper-start-url,course_link,course_link-href,skills,description,title
"1574267906-1890","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=4&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Computational NeuroscienceUniversity of WashingtonCOURSE4.7(581)59kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/computational-neuroscience","[{""skills"":""Computational Neuroscience""},{""skills"":""Artificial Neural Network""},{""skills"":""Reinforcement Learning""},{""skills"":""Biological Neuron Model""}]","","Computational Neuroscience"
"1574268210-1907","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=2&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Introduction to Artificial Intelligence (AI)IBMCOURSE4.7(1,096)17kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/introduction-to-ai","[{""skills"":""Data Science""},{""skills"":""Deep Learning""},{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Jobs""},{""skills"":""Machine Learning""}]","","Introduction to Artificial Intelligence (AI)"
"1574267304-1797","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Problem Solving, Python Programming, and Video GamesUniversity of AlbertaCOURSE4.3(23)4.6kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/problem-solving-programming-video-games","[{""skills"":""Python Syntax And Semantics""},{""skills"":""Video Games""},{""skills"":""Python Programming""},{""skills"":""Problem Solving""},{""skills"":""Computer Science""}]","","Problem Solving, Python Programming, and Video Games"
"1574267293-1794","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","TCP/IP and Advanced TopicsUniversity of Colorado SystemCOURSE4.3(42)4kstudentsMixed LevelMixed","https://www.coursera.org/learn/tcp-ip-advanced","[]","","TCP/IP and Advanced Topics"
"1574267680-1825","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=11&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","HTML, CSS, and Javascript for Web DevelopersJohns Hopkins UniversityCOURSE4.8(5,272)190kstudentsMixed LevelMixed","https://www.coursera.org/learn/html-css-javascript-for-web-developers","[{""skills"":""Html""},{""skills"":""JavaScript""},{""skills"":""Css Frameworks""},{""skills"":""Cascading Style Sheets (CCS)""}]","","HTML, CSS, and Javascript for Web Developers"
"1574267672-1824","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=12&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","JavaScript, jQuery, and JSONUniversity of MichiganCOURSE4.7(267)18kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/javascript-jquery-json","[{""skills"":""Hypertext Preprocessor (PHP)""},{""skills"":""Jquery""},{""skills"":""JavaScript""}]","","JavaScript, jQuery, and JSON"
"1574267199-1768","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=17&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Developing FPGA-accelerated cloud applications with SDAccel: TheoryPolitecnico di MilanoCOURSE4.5(10)Intermediate LevelIntermediate","https://www.coursera.org/learn/fpga-sdaccel-theory","[{""skills"":""Programming Principles""},{""skills"":""Computer Architecture""},{""skills"":""Programming Language Concepts""}]","","Developing FPGA-accelerated cloud applications with SDAccel: Theory"
"1574268137-1902","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=3&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Introduction to Deep Learning & Neural Networks with KerasIBMCOURSE4.6(71)2kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/introduction-to-deep-learning-with-keras","[{""skills"":""Deep Learning""},{""skills"":""Artificial Neural Network""},{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Machine Learning""},{""skills"":""keras""}]","null","Introduction to Deep Learning & Neural Networks with Keras"
"1574267280-1790","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Planification et Design de Systèmes et Technologies d’AssainissementÉcole Polytechnique Fédérale de LausanneCOURSE4.7(94)3.5kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/sanitation-fr","[]","","Planning and Design of Sanitation Systems and Technologies"
"1574268217-1909","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=2&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Introduction to Scripting in PythonRice UniversitySPECIALIZATION4.7(1,362)35kstudentsBeginner LevelBeginner","https://www.coursera.org/specializations/introduction-scripting-in-python","[{""skills"":""Codeskulptor""},{""skills"":""Data Analysis""},{""skills"":""Python Programming""},{""skills"":""Data Visualization (DataViz)""}]","null","Introduction to Scripting in Python Specialization"
