web-scraper-order,web-scraper-start-url,course_link,course_link-href,skills,description,title
"1574262839-1243","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=23&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","AI Workflow: AI in ProductionIBMCOURSEAdvanced LevelAdvanced","https://www.coursera.org/learn/ibm-ai-workflow-ai-production","[{""skills"":""Data Science""},{""skills"":""Information Engineering""},{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Machine Learning""},{""skills"":""Python Programming""}]","","AI Workflow: AI in Production"
"1574263243-1356","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=12&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Convolutional Neural Networksdeeplearning.aiCOURSE4.9(26,375)190kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/convolutional-neural-networks","[{""skills"":""Facial Recognition System""},{""skills"":""Tensorflow""},{""skills"":""Convolutional Neural Network""},{""skills"":""Artificial Neural Network""}]","","Convolutional Neural Networks"
"1574262916-1264","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=21&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Image Understanding with TensorFlow on GCPGoogle CloudCOURSE4.6(287)3.7kstudentsAdvanced LevelAdvanced","https://www.coursera.org/learn/image-understanding-tensorflow-gcp","[{""skills"":""Tensorflow""},{""skills"":""Convolutional Neural Network""},{""skills"":""Estimator""},{""skills"":""Advanced Machine Learning""}]","","Image Understanding with TensorFlow on GCP"
"1574262922-1266","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=21&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Causal InferenceColumbia UniversityCOURSE3.6(17)4.1kstudentsAdvanced LevelAdvanced","https://www.coursera.org/learn/causal-inference","[]","","Causal Inference"
"1574262951-1273","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=20&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Combinatorics and ProbabilityNational Research University Higher School of EconomicsCOURSE4.6(315)15kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/combinatorics","[{""skills"":""Random Variable""},{""skills"":""Probability Interpretations""},{""skills"":""Probability""},{""skills"":""Combinatorics""}]","","Combinatorics and Probability"
"1574262981-1282","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=20&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Probabilistic Graphical Models 1: RepresentationStanford UniversityCOURSE4.7(1,129)63kstudentsAdvanced LevelAdvanced","https://www.coursera.org/learn/probabilistic-graphical-models","[{""skills"":""Bayesian Network""},{""skills"":""Graphical Model""},{""skills"":""Markov Random Field""}]","","Probabilistic Graphical Models 1: Representation"
"1574262560-1168","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=31&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Nanotechnology and Nanosensors, Part 2Technion - Israel Institute of TechnologyCOURSE4.7(70)7.4kstudentsMixed LevelMixed","https://www.coursera.org/learn/nanotechnology2","[]","","Nanotechnology and Nanosensors, Part 2"
"1574263042-1301","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=18&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Feature Engineering en EspañolGoogle CloudCOURSE5(6)Intermediate LevelIntermediate","https://www.coursera.org/learn/feature-engineering-es","[]","","Feature Engineering en Español"
"1574262618-1183","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=29&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Computer Vision BasicsUniversity at BuffaloCOURSE3.8(149)6.4kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/computer-vision-basics","[{""skills"":""Computer Vision""},{""skills"":""Computer Programming""},{""skills"":""Matlab""}]","","Computer Vision Basics"
"1574263425-1404","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=7&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Python and Machine-Learning for Asset Management with Alternative Data SetsEDHEC Business SchoolCOURSEIntermediate LevelIntermediate","https://www.coursera.org/learn/machine-learning-asset-management-alternative-data","[{""skills"":""Advanced vizualisation""},{""skills"":""Basics of consuption-based alternative data""},{""skills"":""Text mining methodologies""},{""skills"":""Web-scritpting tools""}]","","Python and Machine-Learning for Asset Management with Alternative Data Sets"
"1574262707-1207","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=27&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Project: Multiple Linear Regression with scikit-learnRhymeCOURSE5(1)Beginner LevelBeginner","https://www.coursera.org/learn/scikit-learn-multiple-linear-regression","[{""skills"":""Machine Learning""},{""skills"":""Python Programming""},{""skills"":""Data Visualization (DataViz)""},{""skills"":""Linear Regression""},{""skills"":""Scikit-Learn""}]","","Project: Multiple Linear Regression with scikit-learn"
